pH,oxid,NO3,hard,dry,Cl,SO4,Fe,F,Cu,NSF,CCME,WA,DWA,NSFn,CCMEn,WAn,DWAn
6.8375,2.1,2.25,19.375,1122.5,262.25,149.875,0.01,0.27625,0.19,Poor,Good,Fair,Fair,26,90,67,51
6.65,0.24,10.25,16.65,1066.666667,233.3333333,126.0,0.233333333,0.23,0.228,Marginal,Good,Fair,Fair,30,91,69,53
7.05,1.25,10.3,22.68,1110.0,216.5,124.8,0.145,0.199,0.21,Poor,Good,Fair,Fair,27,90,72,54
6.0,0.22,10.2,31.0,1100.0,230.0,132.0,0.25,0.3,0.32,Poor,Good,Fair,Marginal,26,87,61,49
6.871428571,0.32,10.6,26.5,1200.0,230.0,132.0,0.3,0.34,0.22,Poor,Good,Fair,Fair,29,88,62,51
6.7,0.22,10.2,26.5,1100.0,202.0,142.0,0.2,0.3,0.2,Poor,Good,Fair,Fair,29,88,66,53
6.8,0.18,10.3,14.2,900.0,203.0,123.0,0.1,0.21,0.21,Marginal,Good,Fair,Fair,31,92,72,57
7.0,0.32,10.2,14.1,1000.0,213.0,125.0,0.1,0.21,0.19,Marginal,Good,Fair,Fair,32,92,73,56
7.3,0.12,9.6,16.0,1200.0,235.0,133.0,0.1,0.34,0.21,Marginal,Good,Fair,Fair,33,91,63,50
8.0,2.2,1.35,16.5,1678.3,893.5,356.0,0.2,0.26,0.34,Marginal,Good,Fair,Marginal,35,86,65,35
8.5,2.1,1.28,27.35,2800.0,674.7,280.0,0.3,0.23,0.93,Marginal,Good,Marginal,Poor,33,83,47,28
7.5,2.1,1.2,17.8,1600.0,420.0,500.0,0.78,0.57,0.81,Marginal,Good,Poor,Poor,33,90,26,24
6.8,2.1,0.661,10.0,1700.0,344.0,410.0,0.2,0.32,0.09,Poor,Good,Fair,Marginal,27,92,67,36
7.0,2.0,1.8,24.8,2000.0,704.47,450.0,0.77,0.24,1.4,Poor,Good,Marginal,Poor,26,84,41,27
8.0,2.0,1.59,42.22,2000.0,545.4,482.0,0.65,0.21,1.3,Marginal,Good,Marginal,Poor,32,81,46,24
6.5,2.0,4.2,12.5,1900.0,869.4,360.0,0.1,0.74,2.6,Poor,Good,Poor,Poor,24,83,8,22
7.2,2.0,22.7,9.5,1800.0,432.1,768.0,1.8,1.03,0.9599,Poor,Good,Poor,Poor,21,89,10,19
7.6,2.0,15.0,16.0,2000.0,516.12,440.0,0.3,1.14,1.3,Poor,Good,Poor,Poor,28,86,11,20
7.2,2.0,2.5,12.8,1500.0,338.3,380.0,0.25,0.35,1.1,Poor,Good,Marginal,Poor,28,92,34,28
7.5,2.0,2.1,17.5,1800.0,468.4,480.0,0.26,0.49,0.8,Marginal,Good,Marginal,Poor,34,90,33,26
7.3,2.6,11.5,12.5,1005.0,310.0,250.0,0.28,0.0,0.0,Poor,Good,Good,Marginal,26,92,94,49
7.8,3.0,16.0,14.0,1100.0,220.0,215.0,0.21,0.0,0.0,Marginal,Good,Good,Fair,30,92,95,51
7.0,4.0,14.0,16.5,1280.0,305.0,279.0,0.28,0.0,0.0,Poor,Good,Good,Marginal,19,91,93,45
7.6,2.8,10.8,12.8,980.0,228.0,210.0,0.25,0.0,0.0,Marginal,Good,Good,Fair,32,92,95,54
7.5,2.5,11.5,13.2,1200.0,335.0,417.0,0.26,0.0,0.0,Marginal,Good,Good,Marginal,33,92,95,41
7.5,3.4,12.0,24.0,1300.0,372.0,380.0,0.32,0.0,0.0,Poor,Good,Good,Marginal,28,89,95,39
6.8,3.4,11.5,15.6,1610.0,373.0,305.0,0.36,0.0,0.0,Poor,Good,Good,Marginal,21,91,93,39
7.3,3.08,9.8,10.4,1200.0,318.0,290.0,0.27,0.0,0.0,Poor,Good,Good,Marginal,25,92,93,46
7.2,3.6,16.5,17.0,1525.0,396.0,322.0,0.28,0.0,0.0,Poor,Good,Good,Marginal,20,91,93,38
7.0,4.0,12.5,17.0,1610.0,400.0,380.0,0.3,0.0,0.0,Poor,Good,Good,Marginal,19,91,93,37
6.8,4.8,14.5,13.6,1302.0,294.0,275.0,0.29,0.0,0.0,Poor,Good,Good,Marginal,16,92,92,44
7.0,2.6,16.5,13.5,1600.0,410.0,350.0,0.27,0.0,0.0,Poor,Good,Good,Marginal,23,91,93,38
7.4,2.6,14.8,26.0,1620.0,394.0,326.0,0.29,0.0,0.0,Poor,Good,Good,Marginal,23,88,94,38
7.3,1.8,16.0,32.0,1600.0,450.0,388.0,0.3,0.0,0.0,Poor,Good,Good,Marginal,25,86,94,37
7.5,3.5,15.8,26.5,1700.0,452.0,320.0,0.3,0.0,0.0,Poor,Good,Good,Marginal,27,87,95,38
7.5,1.3,15.0,14.5,1700.0,434.0,326.0,0.27,0.0,0.0,Marginal,Good,Good,Marginal,36,91,96,39
7.4,3.2,11.5,9.5,1500.0,220.0,179.0,0.21,0.0,0.0,Poor,Good,Good,Marginal,24,100,94,49
7.5,1.8,10.0,18.0,1200.0,280.0,300.0,0.25,0.0,0.0,Marginal,Good,Good,Marginal,35,91,95,48
7.2,4.2,11.0,50.0,1800.0,600.0,330.0,0.32,0.0,0.0,Poor,Fair,Good,Marginal,15,79,93,38
6.6,3.8,10.5,16.0,1232.0,335.0,298.0,0.05,0.0,0.0,Poor,Good,Good,Marginal,19,91,93,43
7.5,2.4,12.8,13.0,1350.0,360.0,344.0,0.2,0.0,0.0,Marginal,Good,Good,Marginal,33,92,95,40
7.1,3.9,8.4,2.0,1410.0,400.0,436.0,0.3,0.0,0.0,Poor,Good,Good,Marginal,23,92,96,47
7.2,4.0,8.2,11.0,1100.0,312.0,266.0,0.1,0.0,0.0,Poor,Good,Good,Marginal,22,92,93,48
7.9,1.24,8.0,22.4,1.115107914,374.0,480.0,0.54,0.16,0.21,Marginal,Good,Fair,Marginal,36,89,77,42
8.1,1.6,7.9,19.3,1575.0,371.0,470.0,0.63,0.15,0.23,Marginal,Good,Fair,Marginal,35,90,77,32
7.8,1.6,8.2,12.8,1210.0,368.0,530.0,0.14,0.2,0.2,Marginal,Good,Fair,Marginal,36,92,74,35
7.5,0.2,7.7,35.8,1610.0,542.0,600.0,0.21,0.19,0.15,Marginal,Good,Fair,Marginal,37,83,77,33
7.7,0.87,10.4,23.8,1.070967742,353.0,540.0,0.24,0.15,0.16,Marginal,Good,Fair,Marginal,36,89,80,42
7.5,1.1,11.5,29.2,1550.0,425.0,562.0,0.25,0.18,0.16,Marginal,Good,Fair,Marginal,34,86,77,32
7.8,1.4,8.4,11.8,1650.0,370.0,565.0,0.23,0.13,0.15,Marginal,Good,Good,Marginal,37,91,81,32
7.9,0.7,8.3,17.2,1600.0,361.0,565.0,0.28,0.23,0.19,Marginal,Good,Fair,Marginal,38,90,73,31
7.8,1.08,11.5,20.4,1.010932476,362.0,1.021818182,0.23,0.15,0.17,Marginal,Good,Fair,Fair,36,90,79,53
7.8,1.1,9.5,16.5,1610.0,371.0,548.0,0.24,0.19,0.18,Marginal,Good,Fair,Marginal,37,91,76,32
7.7,1.6,8.4,15.2,1562.0,362.0,550.0,0.38,0.19,0.12,Marginal,Good,Fair,Marginal,35,91,78,32
7.6,1.4,9.4,15.6,1555.0,360.0,540.0,0.3,0.18,0.2,Marginal,Good,Fair,Marginal,36,91,76,32
7.7,2.4,4.3,26.7,1.074918567,392.0,535.0,0.27,0.19,0.19,Marginal,Good,Fair,Marginal,32,88,75,41
7.5,3.5,3.8,28.0,935.0,458.0,365.0,0.28,0.19,0.18,Poor,Good,Fair,Marginal,28,87,75,42
7.5,2.4,3.5,24.0,1650.0,559.0,558.0,0.27,0.18,0.18,Marginal,Good,Fair,Marginal,33,87,76,33
7.5,4.7,4.5,26.3,1456.7,368.0,400.0,0.19,0.1,0.12,Poor,Good,Good,Marginal,25,88,83,36
7.6,1.6,7.4,28.2,1600.0,372.0,572.0,0.32,0.12,0.15,Marginal,Good,Good,Marginal,34,87,82,33
7.8,2.7,6.5,23.6,1578.0,370.0,550.0,0.25,0.2,0.07,Marginal,Good,Fair,Marginal,31,89,79,32
8.6,2.8,8.3,28.2,1678.4,387.3,478.4,0.34,0.3,0.1,Poor,Good,Fair,Poor,21,87,67,28
7.7,2.4,7.4,18.7,1488.0,342.0,1.629139073,0.28,0.18,0.1,Marginal,Good,Fair,Marginal,32,91,79,42
7.5,3.4,7.7,18.0,1290.0,325.0,422.0,0.24,0.22,0.14,Poor,Good,Fair,Marginal,29,91,74,38
7.8,2.6,9.4,22.0,1170.0,166.0,400.0,0.21,0.2,0.17,Marginal,Good,Fair,Marginal,31,90,75,46
7.6,1.7,8.3,14.3,1021.0,110.0,400.0,0.14,0.17,0.17,Marginal,Good,Fair,Fair,35,91,78,51
7.7,2.0,8.2,10.5,1019.0,136.0,400.0,0.18,0.18,0.11,Marginal,Good,Fair,Marginal,35,92,79,50
6.8,2.0,7.3,10.7,1467.2,245.6,325.7,0.3,0.23,0.3,Poor,Good,Fair,Marginal,26,92,66,43
7.4,2.0,7.8,16.3,1525.0,365.0,455.0,0.16,0.16,0.17,Poor,Good,Fair,Marginal,28,91,77,34
7.7,2.0,5.4,15.2,1315.0,315.0,415.0,0.18,0.16,0.13,Marginal,Good,Fair,Marginal,35,91,80,40
7.6,0.35,5.4,14.0,1.079051383,136.0,375.0,0.18,0.15,0.19,Marginal,Good,Fair,Fair,41,92,79,58
7.3,1.45,7.2,16.0,1710.0,260.0,540.0,0.17,0.17,0.14,Poor,Good,Fair,Marginal,29,91,77,38
7.5,2.23,5.3,13.8,819.0,363.0,540.0,0.18,0.13,0.12,Marginal,Good,Good,Marginal,34,91,82,40
7.5,1.65,5.6,14.6,864.0,269.0,540.0,0.16,0.13,0.15,Marginal,Good,Good,Marginal,36,91,81,44
7.5,0.56,9.8,13.9,712.0,269.0,332.0,0.19,0.14,0.12,Marginal,Good,Good,Fair,39,92,82,51
7.6,0.68,6.1,14.0,819.0,249.0,371.0,0.2,0.12,0.16,Marginal,Good,Good,Fair,40,92,82,50
7.6,0.78,9.6,14.0,875.0,412.0,410.0,0.17,0.17,0.16,Marginal,Good,Fair,Marginal,38,91,78,42
7.6,1.4,14.3,15.5,834.1,458.0,458.0,0.15,0.16,0.14,Marginal,Good,Fair,Marginal,35,91,79,40
7.3,0.6,9.2,12.1,1610.0,373.0,368.0,0.18,0.12,0.12,Marginal,Good,Good,Marginal,33,92,82,38
8.3,1.3,12.4,14.5,1724.3,365.0,345.0,0.3,0.11,0.14,Marginal,Good,Good,Marginal,36,91,83,35
7.4,1.6,14.3,17.3,1563.3,345.0,453.0,0.2,0.13,0.12,Poor,Good,Good,Marginal,27,91,80,35
7.3,2.4,16.5,12.2,1520.0,350.0,520.0,0.17,0.14,0.18,Poor,Good,Fair,Marginal,25,92,77,32
7.5,2.0,9.2,13.0,1748.0,365.0,530.0,0.17,0.16,0.16,Marginal,Good,Fair,Marginal,34,91,78,33
7.4,2.0,8.4,15.5,1320.0,412.0,390.0,0.17,0.13,0.14,Poor,Good,Fair,Marginal,28,91,80,39
7.4,2.0,5.8,12.3,1885.0,260.0,325.0,0.16,0.15,0.19,Poor,Good,Fair,Marginal,29,91,77,43
